         299117528 function calls (278165445 primitive calls) in 1008.038 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8229000/8228996    4.183    0.000    5.181    0.000 {built-in method builtins.hasattr}
   737283    3.246    0.000    5.083    0.000 /usr/lib/python3.12/inspect.py:3019(__init__)
    27998    0.471    0.000    5.063    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1021(__init__)
   470035    3.598    0.000    5.048    0.000 /usr/lib/python3.12/inspect.py:2733(__init__)
  1904240    1.129    0.000    5.020    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/util/compat.py:111(as_str)
    65318    0.333    0.000    4.845    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/core/function/polymorphism/function_cache.py:43(lookup)
   277019    3.684    0.000    4.834    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
  1375671    1.812    0.000    4.784    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
   682209    0.718    0.000    4.752    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/util/nest.py:198(flatten)
    88754    0.363    0.000    4.634    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/core/function/polymorphism/function_type.py:518(_make_validated_mono_param)
95914/86366    0.183    0.000    4.604    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/util/structure.py:443(type_spec_from_value)
  1197682    0.903    0.000    4.459    0.000 {method 'all' of 'numpy.ndarray' objects}
    28030    0.933    0.000    4.459    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/func_graph.py:163(__init__)
   314897    0.906    0.000    4.441    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/op_def_library.py:52(_SatisfiesTypeConstraint)
    55986    0.298    0.000    4.416    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/util/structure.py:322(_to_tensor_list_helper)
    95946    0.392    0.000    4.410    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/type_spec.py:1007(_type_spec_from_value)
   348551    1.178    0.000    4.400    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/typing_extensions.py:626(__instancecheck__)
  1708129    3.611    0.000    4.345    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/dtypes.py:264(__eq__)
