Episode,Reward,Wins,Losses,Epsilon
474,100.0,108,158,0.09994334856146549
475,100.0,109,158,0.09994334856146549
476,-9.53089266269227,109,158,0.09994334856146549
477,-100.0,109,159,0.09994334856146549
478,100.0,110,159,0.09994334856146549
479,100.0,111,159,0.09994334856146549
480,-100.0,111,160,0.09994334856146549
481,-5.477488030327692,111,160,0.09994334856146549
482,-16.36312573300582,111,160,0.09994334856146549
483,-7.180852533850718,111,160,0.09994334856146549
484,-100.0,111,161,0.09994334856146549
485,-100.0,111,162,0.09994334856146549
486,-100.0,111,163,0.09994334856146549
487,100.0,112,163,0.09994334856146549
488,100.0,113,163,0.09994334856146549
489,-100.0,113,164,0.09994334856146549
490,-10.726764611429662,113,164,0.09994334856146549
491,-5.181245650517479,113,164,0.09994334856146549
492,-100.0,113,165,0.09994334856146549
493,-100.0,113,166,0.09994334856146549
494,-4.470800301400791,113,166,0.09994334856146549
495,100.0,114,166,0.09994334856146549
496,-7.866063381543435,114,166,0.09994334856146549
497,-100.0,114,167,0.09994334856146549
498,-100.0,114,168,0.09994334856146549
499,-0.514003903517533,114,168,0.09994334856146549
500,-12.785244297498702,114,168,0.09994334856146549
501,-100.0,114,169,0.09994334856146549
502,-5.755403504778615,114,169,0.09994334856146549
503,100.0,115,169,0.09994334856146549
504,-5.072215082018104,115,169,0.09994334856146549
505,-100.0,115,170,0.09994334856146549
506,-15.726665521188078,115,170,0.09994334856146549
507,100.0,116,170,0.09994334856146549
508,100.0,117,170,0.09994334856146549
509,-100.0,117,171,0.09994334856146549
510,-11.842690884036356,117,171,0.09994334856146549
511,-100.0,117,172,0.09994334856146549
512,-100.0,117,173,0.09994334856146549
513,100.0,118,173,0.09994334856146549
514,-100.0,118,174,0.09994334856146549
515,100.0,119,174,0.09994334856146549
516,-15.795929345604716,119,174,0.09994334856146549
517,-7.558789910901311,119,174,0.09994334856146549
518,-6.963233893424945,119,174,0.09994334856146549
519,100.0,120,174,0.09994334856146549
520,-4.303712398163254,120,174,0.09994334856146549
521,100.0,121,174,0.09994334856146549
522,100.0,122,174,0.09994334856146549
523,-100.0,122,175,0.09994334856146549
524,-14.3,122,175,0.09994334856146549
525,-100.0,122,176,0.09994334856146549
526,-100.0,122,177,0.09994334856146549
527,-12.279982015928134,122,177,0.09994334856146549
528,-16.31088723961169,122,177,0.09994334856146549
529,-5.300160389395404,122,177,0.09994334856146549
530,100.0,123,177,0.09994334856146549
531,-14.475331580740463,123,177,0.09994334856146549
532,-15.530330667657957,123,177,0.09994334856146549
533,-6.263349052445532,123,177,0.09994334856146549
534,-100.0,123,178,0.09994334856146549
535,-100.0,123,179,0.09994334856146549
536,-9.916413586366298,123,179,0.09994334856146549
537,100.0,124,179,0.09994334856146549
538,100.0,125,179,0.09994334856146549
539,-6.8328221454348235,125,179,0.09994334856146549
540,100.0,126,179,0.09994334856146549
541,-100.0,126,180,0.09994334856146549
542,-100.0,126,181,0.09994334856146549
543,100.0,127,181,0.09994334856146549
544,100.0,128,181,0.09994334856146549
545,-5.995757388649657,128,181,0.09994334856146549
546,-100.0,128,182,0.09994334856146549
547,100.0,129,182,0.09994334856146549
548,-13.0,129,182,0.09994334856146549
549,-12.701899874189785,129,182,0.09994334856146549
550,-5.191133484308395,129,182,0.09994334856146549
551,-100.0,129,183,0.09994334856146549
552,-7.387165613009177,129,183,0.09994334856146549
553,-6.583897463650247,129,183,0.09994334856146549
554,100.0,130,183,0.09994334856146549
555,-100.0,130,184,0.09994334856146549
556,-100.0,130,185,0.09994334856146549
557,-16.829448757619637,130,185,0.09994334856146549
558,-100.0,130,186,0.09994334856146549
559,-100.0,130,187,0.09994334856146549
560,100.0,131,187,0.09994334856146549
561,-100.0,131,188,0.09994334856146549
562,-100.0,131,189,0.09994334856146549
563,100.0,132,189,0.09994334856146549
564,-6.464381638962562,132,189,0.09994334856146549
565,-100.0,132,190,0.09994334856146549
566,100.0,133,190,0.09994334856146549
567,-100.0,133,191,0.09994334856146549
568,100.0,134,191,0.09994334856146549
569,-100.0,134,192,0.09994334856146549
570,-100.0,134,193,0.09994334856146549
571,-100.0,134,194,0.09994334856146549
572,-13.667831404369098,134,194,0.09994334856146549
573,-100.0,134,195,0.09994334856146549
574,-16.903094897141244,134,195,0.09994334856146549
575,100.0,135,195,0.09994334856146549
576,-13.818134834338412,135,195,0.09994334856146549
577,-100.0,135,196,0.09994334856146549
578,-100.0,135,197,0.09994334856146549
579,100.0,136,197,0.09994334856146549
580,100.0,137,197,0.09994334856146549
581,-100.0,137,198,0.09994334856146549
582,-5.465423772962365,137,198,0.09994334856146549
583,-100.0,137,199,0.09994334856146549
584,-5.096408300305728,137,199,0.09994334856146549
585,-13.41040592538663,137,199,0.09994334856146549
586,-7.790457492029015,137,199,0.09994334856146549
587,100.0,138,199,0.09994334856146549
588,100.0,139,199,0.09994334856146549
589,-12.305494979439775,139,199,0.09994334856146549
590,-100.0,139,200,0.09994334856146549
591,-5.968979577752923,139,200,0.09994334856146549
592,100.0,140,200,0.09994334856146549
593,-9.884772352628774,140,200,0.09994334856146549
594,-14.374141493011438,140,200,0.09994334856146549
595,-17.012982487024654,140,200,0.09994334856146549
596,-100.0,140,201,0.09994334856146549
597,-100.0,140,202,0.09994334856146549
598,100.0,141,202,0.09994334856146549
599,-100.0,141,203,0.09994334856146549
600,100.0,142,203,0.09994334856146549
601,100.0,143,203,0.09994334856146549
602,100.0,144,203,0.09994334856146549
603,100.0,145,203,0.09994334856146549
604,-6.89545966521766,145,203,0.09994334856146549
605,-100.0,145,204,0.09994334856146549
606,100.0,146,204,0.09994334856146549
607,-100.0,146,205,0.09994334856146549
608,-100.0,146,206,0.09994334856146549
609,100.0,147,206,0.09994334856146549
610,-100.0,147,207,0.09994334856146549
611,-100.0,147,208,0.09994334856146549
612,-8.721283634685625,147,208,0.09994334856146549
613,-15.367078122714894,147,208,0.09994334856146549
614,-5.844616212596483,147,208,0.09994334856146549
615,-17.54526765248979,147,208,0.09994334856146549
616,-100.0,147,209,0.09994334856146549
617,100.0,148,209,0.09994334856146549
618,-19.669562204203903,148,209,0.09994334856146549
619,-100.0,148,210,0.09994334856146549
620,100.0,149,210,0.09994334856146549
621,100.0,150,210,0.09994334856146549
622,-6.242970163543211,150,210,0.09994334856146549
623,-11.882992990074422,150,210,0.09994334856146549
624,-100.0,150,211,0.09994334856146549
625,-100.0,150,212,0.09994334856146549
626,-100.0,150,213,0.09994334856146549
627,-4.771002103810043,150,213,0.09994334856146549
628,-100.0,150,214,0.09994334856146549
629,-100.0,150,215,0.09994334856146549
630,-11.770553456730354,150,215,0.09994334856146549
631,-9.415823383693702,150,215,0.09994334856146549
632,-100.0,150,216,0.09994334856146549
633,-11.67615582630477,150,216,0.09994334856146549
634,100.0,151,216,0.09994334856146549
635,100.0,152,216,0.09994334856146549
636,-100.0,152,217,0.09994334856146549
637,-10.154635829034302,152,217,0.09994334856146549
638,-100.0,152,218,0.09994334856146549
639,100.0,153,218,0.09994334856146549
640,-100.0,153,219,0.09994334856146549
641,100.0,154,219,0.09994334856146549
642,-16.867945605003534,154,219,0.09994334856146549
643,100.0,155,219,0.09994334856146549
644,100.0,156,219,0.09994334856146549
645,100.0,157,219,0.09994334856146549
646,-9.661361684478209,157,219,0.09994334856146549
647,100.0,158,219,0.09994334856146549
648,100.0,159,219,0.09994334856146549
