         10913469 function calls (10219050 primitive calls) in 26.305 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      218    0.001    0.000    0.189    0.001 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/ops/iterator_ops.py:824(__next__)
      218    0.004    0.000    0.189    0.001 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/ops/iterator_ops.py:756(_next_internal)
    89043    0.091    0.000    0.187    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/dtypes.py:793(as_dtype)
     4555    0.042    0.000    0.183    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/op_def_library.py:317(_ExtractAttrProto)
      831    0.008    0.000    0.182    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:342(make_function_type)
  961/245    0.005    0.000    0.180    0.001 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/ops/array_ops.py:253(identity)
  976/251    0.008    0.000    0.177    0.001 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/ops/gen_array_ops.py:4186(identity)
        1    0.169    0.169    0.169    0.169 {built-in method pygame.display.set_mode}
     1935    0.004    0.000    0.169    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:362(make_canonicalized_monomorphic_type)
      828    0.020    0.000    0.166    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/util/structure.py:70(normalize_element)
    72381    0.166    0.000    0.166    0.000 {built-in method pygame.draw.line}
     1935    0.020    0.000    0.164    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/core/function/polymorphism/function_type.py:531(canonicalize_to_monomorphic)
   276/78    0.003    0.000    0.163    0.002 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/ops/array_ops.py:4963(gather_v2)
     5421    0.025    0.000    0.161    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/tensor.py:743(__tf_tracing_type__)
    35487    0.024    0.000    0.158    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/util/nest_util.py:615(flatten)
   277/78    0.002    0.000    0.155    0.002 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1267(_call_flat)
     5207    0.003    0.000    0.154    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/util/nest.py:423(pack_sequence_as)
   277/78    0.009    0.000    0.153    0.002 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/eager/polymorphic_function/atomic_function.py:219(call_flat)
      218    0.001    0.000    0.152    0.001 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/ops/gen_dataset_ops.py:3065(iterator_get_next)
      852    0.005    0.000    0.152    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/autograph/impl/api.py:493(tf_convert)
     5983    0.014    0.000    0.149    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/ops.py:5566(__enter__)
  3830/57    0.035    0.000    0.145    0.003 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/util/dispatch.py:1246(op_dispatch_handler)
    10489    0.040    0.000    0.143    0.000 /usr/lib/python3.12/inspect.py:1835(getattr_static)
      828    0.004    0.000    0.143    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/autograph/impl/api.py:679(decorator)
121151/121099    0.041    0.000    0.141    0.000 <frozen abc>:117(__instancecheck__)
     6744    0.033    0.000    0.140    0.000 /usr/lib/python3.12/typing.py:1890(__instancecheck__)
    11642    0.024    0.000    0.138    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/op_def_library.py:52(_SatisfiesTypeConstraint)
       22    0.001    0.000    0.137    0.006 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/ops/resource_variable_ops.py:1901(_init_from_args)
     8972    0.069    0.000    0.134    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/ops.py:947(_NodeDef)
    10074    0.099    0.000    0.127    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
     3036    0.018    0.000    0.124    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/data/ops/dataset_ops.py:675(_common_args)
293665/293655    0.101    0.000    0.124    0.000 {built-in method builtins.hasattr}
     2212    0.002    0.000    0.124    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:383(canonicalize_function_inputs)
    69295    0.028    0.000    0.122    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/util/compat.py:111(as_str)
    52026    0.046    0.000    0.122    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
    12040    0.035    0.000    0.122    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/framework/ops.py:3273(name_scope)
       26    0.000    0.000    0.121    0.005 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/keras/src/backend/tensorflow/core.py:41(<lambda>)
     2212    0.005    0.000    0.121    0.000 /home/nosignalx2k/Рабочий стол/work/Магистратура/ПИШ/REDBLUE/RLEnvironmentProject/redblue/lib/python3.12/site-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:428(bind_function_inputs)
